Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
ubuntu:focal:locales,"AGPL-3.0-only,BSD-3-Clause,GPL-2.0-only,GPL-3.0-only,ISC,LGPL-2.1-only,Mup,Newsletr,Spencer-94","http://www.gnu.org/licenses/agpl.txt,http://opensource.org/licenses/BSD-3-Clause,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.opensource.org/licenses/ISC,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,https://fedoraproject.org/wiki/Licensing/Mup,https://fedoraproject.org/wiki/Licensing/Newsletr,https://fedoraproject.org/wiki/Licensing/Henry_Spencer_Reg-Ex_Library_License",deb,ubuntu:focal:locales:2.31-0ubuntu9.7,deb://ubuntu:focal:locales,2.31-0ubuntu9.7
ignore,MIT,http://www.opensource.org/licenses/MIT,npm,ignore:5.2.0,npm://ignore,5.2.0
ubuntu:focal:libkrb5support0,"BSD,BSD 2-Clause,ISC,MIT,Xnet","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/Xnet",deb,ubuntu:focal:libkrb5support0:1.17-6ubuntu4.1,deb://ubuntu:focal:libkrb5support0,1.17-6ubuntu4.1
ubuntu:focal:libubsan1,"BSD,BSD 2-Clause,GPL-3.0,LGPL-2.1,MIT,ZLIB","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-2-Clause,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,http://www.opensource.org/licenses/MIT,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:libubsan1:10.3.0-1ubuntu1~20.04,deb://ubuntu:focal:libubsan1,10.3.0-1ubuntu1~20.04
xml-apis:xml-apis,"Apache-2.0,W3C","http://licenses.nuget.org/Apache-2.0,http://www.opensource.org/licenses/W3C",maven,xml-apis:xml-apis:1.4.01,gav://xml-apis:xml-apis,1.4.01
debian:bullseye:libaprutil1,"BSD,ISC,ZLIB","http://directory.fsf.org/wiki/License:BSD_4Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/Zlib",deb,debian:bullseye:libaprutil1:1.6.1-5,deb://debian:bullseye:libaprutil1,1.6.1-5
com.dremio:dremio-dac-common,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.dremio:dremio-dac-common:20.1.0-202202061055110045-36733c65,gav://com.dremio:dremio-dac-common,20.1.0-202202061055110045-36733c65
org.slf4j:slf4j-api,MIT,http://www.opensource.org/licenses/MIT,maven,org.slf4j:slf4j-api:1.7.32,gav://org.slf4j:slf4j-api,1.7.32
github.com/go-kit/log,MIT,http://www.opensource.org/licenses/MIT,go,github.com/go-kit/log:0.1.0,go://github.com/go-kit/log,0.1.0
json-stable-stringify-without-jsonify,MIT,http://www.opensource.org/licenses/MIT,npm,json-stable-stringify-without-jsonify:1.0.1,npm://json-stable-stringify-without-jsonify,1.0.1
